abbrev,desc
A,ampère(s)
a,are(s)
A,argônio
a,assinado(a)
Å,"decimilimícron(s), ångström"
A.,aceite
A.,alto (música)
a.,arroba(s)
a.,assinado(a)
A.,austral
A.,autor
a.al.,alto-alemão
A.B.,"Artium Baccalaureus, bacharel de artes, bacharel em artes"
a.c.,"anni currentis ou anno currente, do corrente ano"
A.C.,"anno Christi, no ano de Cristo, na era cristã"
a.C.,antes de Cristo
a.C.e.,"misto anestésico de álcool, clorofórmio e éter"
A.D.,aguarda deferimento
A.D.,"anno Domini, no ano do Senhor, na era cristã"
a.d.,"ante diem, antes do dia"
A.E.C.,antes da era comum (com ou sem pontos  —  ver E.C.)
a.e.c.,"antes da era comum (preferencialmente em versalete, com ou sem pontos  —  ver e.c.)"
A.H.,"anno Hegirae, no ano da Hégira, na era islâmica"
a.H.,antes da Hégira
A.M.,"anno mundi, no ano do mundo"
a.m.,"ante meridiem, antes do meio-dia"
A.M.,"Artium Magister, mestre de artes, mestre em artes"
a.m.a.,"ad multos annos, por muitos anos"
A.M.D.G.,"Ad Maiorem Dei Gloriam, para a maior glória de Deus"
a.p.,a protestar (comércio)
A.R.,ascensão reta
a.s.,anglo-saxão
a.-s.,anglo-saxão
a.t.,a tempo (música)
A.t.,a tempo (música)
A.U.C.,"anno urbe condita, no ano da fundação da cidade"
A.V.,avaria marítima
A.V.C.,"ab urbe condita, da fundação da cidade (de Roma)"
A.V.C.,"anno urbe condita, no ano da fundação da cidade (de Roma)"
A/C,ao(s) cuidado(s)
a/c,"aos cuidados, ao cuidado de"
ãã aná.,em partes iguais
aa,assinados(as)
AA,Alcoólicos Anônimos
AA,estação meteorológica
AA,tamanho médio de pilhas
aa.,assinados(as)
AA.,autores
AAA,cubo (em matemática antiga)
AAA,"nas moedas e monumentos romanos: aurum argentum et aes (ouro, prata e bronze)"
AAA,nas moedas e monumentos romanos: os três Augustos
AAA,número de área (em meteorologia)
AAA,tamanho pequeno de pilhas
ab init.,"ab initio, a partir do início, desde o início"
Ab.,abade
Ab.e,abade
abc.,abecedário
abis.,abissínio
abissín.,abissínio
abl.,ablativo
abr.,abreviatura
abr.,abril
abrev.,abreviação
abrev.,abreviadamente
abrev.,abreviado
abrev.,abreviatura
abs.,absolutamente
abs.,absoluto
åbs.,grau absoluto
absol.,absoluto
abstr.,abstrato
abstrsmo,abstracionismo
abus.,abusivamente
ac,acre(s)
Ac,actínio
ac.,"ft acre-foot (feet), acre-pé"
acad.,academia
acad.,acadêmico
academ.,academicismo
acadêm.,acadêmico
acadsmo,academicismo
acc.,accessit (classificação escolar inferior ao prêmio)
açor.,açorianismo
açor.,açoriano
acus.,acusativo
acúst.,acústica
ad fin.,"ad finem, até o fim"
ad infin.,"ad infinitum, até o infinito, inumeravelmente"
ad init.,"ad initium, no início, logo no início"
ad int.,"ad interim, interinamente, no ínterim"
ad lib.,"ad libitum, à vontade, a gosto"
ad loc.,"ad locum, ao lugar, para o lugar"
ad val.,"ad valorem, pelo valor"
ad.,adágio
ad.,adiado
adag.,"adagio, lentamente"
adapt.,adaptação
add,"adde ou addatur, junta, junte-se"
adit.,aditiva
adj.,adjetivo
adj. bif.,adjetivo biforme
adj. s.2g.,adjetivo e substantivo de dois gêneros
adj. s.2g.2n.,adjetivo e substantivo de dois gêneros e dois números
adj. s.f.,adjetivo e substantivo feminino
adj. s.m.,adjetivo e substantivo masculino
adj. unif.,adjetivo uniforme
adj.2g.,adjetivo de dois gêneros
adj.2g. s.f.,adjetivo de dois gêneros e substantivo feminino
adj.2g. s.m.,adjetivo de dois gêneros e substantivo masculino
adj.2g.2n.,adjetivo de dois gêneros e dois números
adjet.,adjetivamente
adm.,administração
adm. ecl.,administração eclesiástica
adm. púb.,administração pública
adm. rom.,administração romana
admir.,admiração
adv.,adverbial
adv.,advérbio
Adv.,advocacia
adv. af.,advérbio de afirmação
adv. conf.,advérbio de confirmação
adv. design.,advérbio de designação
adv. dúv.,advérbio de dúvida
adv. excl.,advérbio de exclusão
adv. interr.,advérbio interrogativo
adv. lug.,advérbio de lugar
adv. lugar,advérbio de lugar
adv. mod.,advérbio de modo
adv. modo,advérbio de modo
adv. neg.,advérbio de negação
adv. num.,advérbio numeral
adv. quant.,advérbio de quantidade
adv. rel.,advérbio relativo
adv. temp.,advérbio de tempo
Adv.º,advogado
adv.º,advogado
adverb.,adverbialmente
advoc.,advocacia
AEC,antes da era comum (com ou sem pontos  —  ver EC)
aec,"antes da era comum (preferencialmente em versalete, com ou sem pontos  —  ver ec)"
aer.,aeronáutica
aer.,aerovia
aer. mil.,aeronáutica militar
aerof.,aerofotogrametria
aeron.,aeronáutica
aerost.,aerostática
aet.,"aetate, na idade de"
aetat.,"aetate, na idade de"
af.o,afeiçoado
af.o,afetuoso
afér.,aférese
afl.,afluente
afls.,afluentes
afor.,aforismo
afr.,africânder
afr.,africanismo
afr.,africano(a)
afric.,africanismo
afrolus,afro-lusitano
afrolus.,afro-lusitanismo
Ag,"argentum, prata"
ag.,agosto
ág. e fl.,águas e florestas
agl.,aglomerado
agl.,aglutinação
agn.,agnome
ago.,agosto
agpc,Agente de Polícia Civil
agric.,agricultura
agrim.,agrimensura
agrol.,agrologia
agron.,agronomia
Ah,"ampere(s)-hora, ampère(s)-hora"
aj.,ajudante
aj.te,ajudante
Al,alumínio
Al.,alameda (toponimicamente)
al.,alemão
al.,"alias, aliter, por outras palavras, de outro modo"
al. hist.,alusão histórica
al. lit.,alusão literária
al. mit.,alusão mitológica
alat.,alatinado
alb.,albanês
alb.,"albardilha, cutelaria"
alf.,alfabético
alf.,alfabeto
alf.,alferes
alf. ar.,alfabeto arábico
alf. aráb.,alfabeto arábico
alf. cir.,alfabeto cirílico
alf. gr.,alfabeto grego
alf. hebr.,alfabeto hebraico
alf. lat.,alfabeto latino
alfaiat.,alfaiataria
álg. abst.,álgebra abstrata
alg.,algarismo
álg.,álgebra
álg. mod.,álgebra moderna
álg. sup.,álgebra superior
algar.,algarismo
algv.,algarvio
alm.,almanaque
ALM.,almirante
alm.,almirante
alm.,almude(s)
alm.-esqdra,almirante-deesquadra
Alm.-Esqdra,almirante-deesquadra
Alm.te,almirante
alop.,alopatia
alp.,alpinismo
alq,alqueire(s)
alq.,alquimia
alquil.,alquilaria
als.,alsaciano
alt.,altitude
alt.,alto
alt.,altura
alt.-al.,alto-alemão
altan.,altanaria
alter.,alteração
altern.,alternação
altit.,altitude
alto-al.,alto-alemão
alus. lit.,alusão literária
alusão lit.,alusão literária
alv.,alvará
alv.,alvenaria
alveit.,alveitaria
alven.,alvenaria
Am,amerício
am.,advérbio de modo
am.,americano
am.a,amiga
am.o,amigo
amár.,amárico
amer.,americanismo
amer.,americano
An,ânodo
an.,anual
anál.,análise
anal.,analítico
anal.,analogia
anal.,analógico
anál. clín.,análise(s) clínica(s)
anál. mat.,análise matemática
anam.,anamita
anarq.,anarquismo
anat.,anatomia
and.,andamento (música)
and.,"andante, andante"
anes.,anestesiologia
ang.,angolar
angl.,anglicismo
angl.-sax.,anglo-saxão
angol.,angolismo
anim.,animal
anôn.,anônimo
ansp.a,anspeçada
ant. a.-al.,antigo altoalemão
ant. alt.-al.,antigo altoalemão
ant.,antônimo
ant. biz.,antiguidade bizantina
ant. clás.,antiguidade clássica
ant. egíp.,antiguidade egípcia
ant. gr.,antiguidade grega
ant. hebr.,antiguidade hebraica
ant. mex.,antiguidade mexicana
ant. or.,antiguidade oriental
ant. rom.,antiguidade romana
antec.,antecedente
antig.,antiguidade
antiq.,antiquado
antiq.,antiquário
antol.,antologia
antôn.,antônimo
anton.,antonomásia
antonom.,antonomásia
antr.,antroponímia
antr.,antropônimo
antr. f.,antropônimo feminino
antr. m.,antropônimo masculino
antrop.,antropologia
antropogr.,antropografia
antropol.,antropologia
antropon.,antroponímia
antropôn.,antropônimo
antropôn. fem.,antropônimo feminino
antropôn. masc.,antropônimo masculino
anu.,anuário
ap.,apartamento
ap.,apêndice
ap.,aprovado
ap.,"apud, em, de, entre"
apart.,apartamento
apênd.,apêndice
apic.,apicultura
apl.,aplicado
apóc.,apócope
aport.,aportuguesado
aport.,aportuguesamento
aportg.,aportuguesamento
aportug.,aportuguesamento
aprox.,aproximadamente
aprox.,aproximativa
ap.,apartamento
aq.,aquavia
Ar,argônio
ár.,árabe
ar.,arábico
Ar. tang.,arco cuja tangente é
ara.,arameu
aráb.,arábico
aracn.,aracnídeo
aram.,aramaico
aram.,arameu
arb.,arboricultura
arboric.,arboricultura
arc.,arcaico
arc.,arcaísmo
Arc. cos.,arco cujo cosseno é
Arc. sen.,arco cujo seno é
arc.o,arcebispo
arcaic.,arcaico
arceb.,arcebispado
arceb.,arcebispo
arcebd.,arcebispado
arcip.,arciprestado
arcip.,arcipreste
arcipd.,arciprestado
ard.,ardosieiras
arg.,argentino
arit.,aritmética
aritm.,aritmética
aritmol.,aritmologia
arm. ant.,armamento antigo
arm.,armamento(s)
arm.,armaria
arm.,armênio
arq. ant.,arquitetura antiga
arq.,arqueologia
arq.,arquivo
arq. col. bras.,arquitetura colonial brasileira
arq. hidr.,arquitetura hidráulica
arq. rel.,arquitetura religiosa
arq. rom.,arquitetura romana
arqueol.,arqueologia
arquid.,arquidiocese
arquip.,arquipélago
arquit.,arquitetura
arquit. hidr.,arquitetura hidráulica
arquit. hidrául.,arquitetura hidráulica
arquit. mil.,arquitetura militar
arquit. nav.,arquitetura naval
arquit. naval,arquitetura naval
arr,arroba(s)
arr.,"arrondissement(s) (divisão administrativa francesa, belga e argelina)"
art.,artigo
art.,artilharia
art.,artilheiro
art.,artístico
art. dec.,arte(s) decorativa(s)
art. def.,artigo definido
art. dom.,arte(s) doméstica(s)
art. dram.,arte dramática
art. gráf.,arte(s) gráfica(s)
art. ind.,artigo indefinido
art. indef.,artigo indefinido
art. mil.,arte militar
art. plást.,artes plásticas
art.o,artigo
arte dec.,arte decorativa
arte dram.,arte dramática
arte mil.,arte militar
artes.,artesanato
artesan.,artesanato
artilh.,artilharia
artíst.,artístico
aru.,aruaque
As,"ampere(s)-segundo, ampère(s)-segundo"
As,arsênio
às v.,às vezes
as.,asiático
ASAP.,As soon as possible (tão logo quanto possível)
ascet.,ascetismo
asiát.,asiático
ásio-lus.,ásio-lusitano
asolus.,ásio-lusitanismo
asolus.,ásio-lusitano
asp.,aspirante
asp.te,aspirante
ass.,assimilação
assem.,assembleia
assemb.,assembleia
assim.,assimilação
assist.,assistência
assoc.,associação
ast.,asturiano
astr.,astrônimo
astr.,astronomia
astr.,astronômico
astr.f.,astrônimo feminino
astr.f.pl.,astrônimo feminino plural
astr.m.,astrônimo masculino
astr.m.pl.,astrônimo masculino plural
astrol.,astrologia
astron.,astronáutica
astrôn.,astrônimo
astron.,astronomia
astrôn. fem.,astrônimo feminino
astrôn. masc.,astrônimo masculino
astronáut.,astronáutica
astroním.,astronímia
At,astatínio
At,astatino
at.,ativo
át.,átomo
át.,átono
at.o,atencioso
at.o,atento
at.te,atenciosamente
ativ.,atividade
atl.,atletismo
atlt.,atletismo
atm.,atmosfera
atôm.,atômico
atom.,atomística
atr.,através
atual.,atualidade
atualid.,atualidade
atualm.,atualmente
Au,"aurum, ouro"
au.,adjetivo uniforme
aum.,aumentativo
aus.,austral
austr.,austral
austr.,austríaco
austral.,australiano
aut.,automobilismo
aut.,automóvel
auto.,automobilismo
auto.,automóvel
autom.,automobilismo
autom.,automóvel
automat.,automatismo
aux.,auxiliar
aux.o,auxílio
av.,avenida
Av.,avenida (toponimicamente)
av.,aviação
av.,aviador
AVC,acidente vascular cerebral
aven.,avenida
aviaç.,aviação
avic.,avicultura
ax.,axiônimo
axiôn.,axiônimo
Az,azoto
b,bária(s) (unidade de pressão)
B,beco (toponimicamente)
b,bom
B,boro
b,braça(s)
b.,baixo
B.,beato
B.,boreal
b. lat.,baixo-latim
B. Lit.,"Baccalaureus Literarum (Litterarum), bacharel de letras, bacharel em letras"
B.A.,"Baccalaureus Artium, bacharel de artes, bacharel em artes"
B.a.,"balneum arenae, banho de areia"
b.-art.,belas-artes
b.-artes,belas-artes
B.B.,bombordo
BB,Banco do Brasil
B.eis,bacharéis
B.el,bacharel
b.f.,boas-festas
B.F.,boas-festas
b.i.d.,"bis in die, duas vezes ao dia"
b.-lat.,baixo-latim
B.-letr.,belas-letras
B.m.,"balneum mariae, banho-maria"
B.o,beco (toponimicamente)
B.T.U.,"british thermal unit, unidade termal britânica"
B.V.,"balneum vaporis, banho de vapor"
B.V.,barlavento
B/L,"bill of lading, nota de embarque"
Ba,bário
bact.,bacteriologia
bacter.,bacteriologia
bacteriol.,bacteriologia
bal.,balanço
bal.,balística
balíst.,balística
bált.,báltico
Bar,bária
Bar.,barão
bárb.,bárbaro
basq.,basquetebol
bat.,bateria
BB,bombordo
bbl.,"barrel(s) of petroleum, barril ou barris de petróleo"
Be,"berilo, berílio"
beir.,termo beirão
bel.-art.,belas-artes
beng.,bengali
berb.,berbere
Bi,bismuto
bíb.,bíblico
Bíbl.,Bíblia
bíbl.,bíblico
bibl.,bibliografia
bibl.,bibliográfico
bibl.,bibliônimo
bibl.,biblioteca
bibl.f.,bibliônimo feminino
bibl.m.,bibliônimo masculino
bibl.m.pl.,bibliônimo masculino plural
bibliof.,bibliofilia
bibliog.,bibliografia
bibliogr.,bibliografia
bibliol.,bibliologia
bibliôn. fem.,bibliônimo feminino
bibliôn. masc.,bibliônimo masculino
bibliot.,biblioteconomia
bibliotec.,biblioteconomia
bibliotecon.,biblioteconomia
biblog.,bibliografia
biblol.,bibliologia
biblon.,biblionímia
bilh.e,bilhete
bim.,bimensal
bimen.,bimensal
biodim.,biodinâmica
biofís.,biofísica
biogên.,biogênese
biogen.,biogenético
biogeo.,biogeografia
biogeog.,biogeografia
biogeogr.,biogeografia
biogr.,biografia
biol.,biologia
biol. ger.,biologia geral
biom.,biometria
bioq.,bioquímica
bioquím.,bioquímica
biot.,biotaxia
biotip.,biotipologia
biotipol.,biotipologia
birm.,"birmanês, birmano, birmão"
birrel.,birrelativo
bisp.,bispado
bispd.,bispado
bitr.,bitransitivo
bitrans.,bitransitivo
Bk,"berkélio, berquélio"
bm.,baixa-mar
boêm.,boêmio
bol.,boletim
boliv.,boliviano
B.O.M.,Bill Of Material
bomb.,bombeiros
bor.,boreal
bord.,"bordado, arte de bordar"
borg.,borguinhão
borr.,indústria de borracha
bot.,botânica
bot.,botânico
b. p.,bilhete postal (coleccionismo)
Bpo.,Bispo
Br,bromo
br.,brasileirismo
br.,brasileiro
br.,brochado(s)
br.,brochura
Brâo,barão
bras.,brasileirismo
bras.,brasileiro
brasil.,brasileiro
bret.,bretão
Brig.,brigadeiro
brig.,brigadeiro
Brig.o,brigadeiro
brit.,britânico
brom.,bromatologia
bromat.,bromatologia
btl.,batalhão
bu,"bushel(s), alqueire(s)"
bud.,budismo
búlg.,búlgaro
bur.,burocracia
burl.,burlesco
buroc.,burocracia
BV,barlavento
C,carbono
C,coulomb(s)
C.,calçada (toponimicamente)
c.,canto(s) (de poema)
c.,capital
C.,carta
c.,cave (cuidado)
c.,cena (de peça teatral)
c.,cento(s)
c.,cerca de; circa (no sentido temporal)
c.,"circa, cerca, em torno de, por volta de"
C.,código
c.,comarca
c.,compasso(s) (em música)
C.,comum (em botânica)
c.,conto(s) (de réis)
C. Mil.,código militar
C.A.A.,contração anódica de abertura
C.Ág.,código de águas
c.-alm.,contra-almirante
C.-Alm.,contra-almirante
C.B.,"Chirurgiae Baccalaureus, bacharel de cirurgia, bacharel em cirurgia"
C.C.,Código Civil
c.c.,confere
c.c.,conforme
C.Com.,Código Comercial
C.D.,"compact disc, disco compacto"
C.de,conde
C.de,conde
C.dessa,condessa
C.dessa,condessa
C.el,coronel
c.el,coronel
C.el,coronel
c.el,coronel
C.G.S.,centímetro grama e segundo
C.H.,componente horizontal
C.I.F.,"cost, insurance and freight, custo, seguro e frete"
C.ia,companhia
C.ia,companhia
c.-riq.,costa-riquenho
C.ta,comandita
c.v.,cavalo(s)-vapor
C.V.,componente vertical
c/,com
c/,conta (comercialmente)
c/a,conta aberta
c/c,"conta corrente, com cópia, combinado com"
Ca,cálcio
ca,centiare(s)
cab.,cabala
cabo-verd.,caboverdianismo
caç.,caçadores (do exército)
cad.,cadência
cad.,caderno
caf.,cafre
cal,caloria(s)
cal,caloria(s)-grama
cal.,calão
cal.,calçados
cal.,calendário
calç.,calçada (toponimicamente)
cálc.,cálculo
cálc. vect.,cálculo vectorial
cálc. vet.,cálculo vetorial
calcog.,calcografia
calcogr.,calcografia
cald.,"caldaico, caldeu"
calig.,caligrafia
caligr.,caligrafia
calor.,calorimetria
calorim.,calorimetria
calv.,calvinismo
calvin.,calvinismo
câm.,câmara
can.,canadense
canad.,canadense
canal.,canalização
canaliz.,canalização
cant.,cantão
cant.,cantaria
cap.,capital
cap.,capitão
cap.,capítulo
Cap.,capítulo
cap.,capoeira
Cap. Corv.,capitão-de-corveta
cap. corv.,capitão-de-corveta
Cap. Fr.,capitão-de-fragata
cap. frag.,capitão-defragata
Cap.ão,capitão
cap.ão,capitão
Cap.M.G.,capitão-de-mare- guerra
cap.m.g.,capitão-de-mar-eguerra
Cap.-ten.,capitão-tenente
cap.-ten.,capitão-tenente
capac.,capacidade
capit.,capitalismo
capix.,capixaba
caps.,capítulos
capt.,capitão
car.,caribe
card.,cardeal
card.,cardiologia
carn.,carniceiro
carp.,carpintaria
carp.,carpinteiro
carr.,carroçaria
cart.,cartaginês
cart.,cartografia
cart.,cartonado(s)
cartogr.,cartografia
cast.,castelhano
casuís.,casuística
casuíst.,casuística
cat.,catalão
cat.,catálogo
Cat.,catolicismo
cat.,católico
cat. morf.,categoria morfológica
catal.,catálise
catar.,catarinense
catarin.,catarinense
categ.,categoria
Catol.,catolicismo
catól.,católico
Catolic.,catolicismo
catóp.,catóptrica
catópt.,catóptrica
caus.,causal
causal.,causalidade
causal.,causalismo
causalid.,causalidade
cav.,cavalaria
cav.,cavaleiro
Cav.o,cavaleiro
Cb,colômbio
cb.,cabo
cb.,contrabaixo (em música)
Cb.,contrabaixo (em música)
cc.,comarca
Cd,cádmio
cd,candela(s)
CDB,certificado de depósito bancário
CD-ROM,"compact disc read only, disco compacto com memória para ser lido"
Ce,cério
ce.,"celamim, celamins"
cear.,cearense
celt.,celta
célt.,céltico
cên.,cênico
cenog.,cenografia
cent.,centavo(s)
cênt.,"cêntimo(s), centimo(s)"
centr.,central
cer.,cerâmica
cerâm.,cerâmica
cerv.,cervejaria
cest.,cestaria
cet. par.,"ceteris paribus, sendo iguais (semelhantes, equivalentes) às outras coisas"
Cf,califórnio
cf.,"confer, compara"
cf.,"confer, confere, verifica"
cf.,confronte com
cfr.,confira
cfr.,confronte
cg,centigrama(s)
cg,centigrama-força
cg*,centigrama-força
cgf,centigrama-força
cgr,centígrado(s)
ch.,"chain(s), cadeia(s)"
Ch.B.,"Chirurgiae Baccalaureus, bacharel de cirurgia, bacharel em cirurgia"
ch.e,chantre
Ch.M.,"Chirurgiae Magister, mestre de cirurgia, mestre em cirurgia"
chanc.,chancelaria
chancel.,chancelaria
chap.,chapelaria
chapel.,chapelaria
chil.,chileno
chin.,chinês
chul.,chulismo
chul.,chulo
Cia.,companhia
ciber.,cibernética
cibern.,cibernética
cicl.,ciclismo
cid.,cidade(s)
ciênc.,ciência(s)
ciênc. oc.,ciências ocultas
cienc. pol.,ciência política
cient.,científico
cig.,cigano
cin.,cinegética
cin.,cinema
cineg.,cinegética
cinem.,cinema
cinem.,cinematografia
cinematogr.,cinematografia
cing.,cingalês
cinol.,cinologia
cinz.,cinzelaria
cir.,cirurgia
circ.,"circo, atividades circenses"
círc.,círculo
circunscr.,circunscrição
cirurg.,cirurgia
cit.,citação
cit.,"citatus, citata, citatum, citado, citada, citado (neutro)"
citol.,citologia
citt.,"citati, citatae, citata, citados, citadas, citados (neutro)"
cl,centilitro(s)
Cl,cloro
Cl.,clérigo
clas.,classicismo
clás.,clássico
cláss.,clássico
clich.,clicheria
clim.,climatologia
climatol.,climatologia
clín.,clínica
cm,centímetro(s)
Cm,cúrio
cm.g*,centímetro-gramaforça
cm/s,centímetro(s) por segundo
cm/s/s,centímetro(s) por segundo por segundo
cm²,centímetro(s) quadrado(s)
cm³,centímetro(s) cúbico(s)
Co,cobalto
cob.,cobertura
cob.,cobra
cód. águas,código de águas
cód. civ.,código civil
cód. civil,código civil
cód.,códice
cód.,código
cód. com.,código comercial
cód. cont.,código de contabilidade
cód. fl.,código florestal
cód. just.mil.,código de justiça militar
cód. mil.,código militar
cód. pen.,código penal
cód. penal,código penal
cód. proc. civ.,código processual civil
cód. proc.,código de processo
cód. proc. pen.,código processual penal
cód. trab.,código do trabalho
códs.,códices
cogn.,cognome
col.,colaborador
col.,coleção
Col.,colégio
col.,coletivo
col.,coluna
col.,part.  —  coleção particular
Col.º,Colégio
colet.,coletivamente
colet.,coletivismo
colet.,coletivo
coletsmo,coletivismo
colomb.,colombiano
cols.,coleções
cols.,colunas
com.,comandante
com.,comendador
com.,comercial
com.,comércio
com.,comum
com.,comuna
com.,comunismo
Com.dor,comendador
com.e,comadre
Com.or,comendador
comb.,combinação
comb.,combinatório
comb.,combustão
comb.,combustível
combin.,combinação
combinat.,combinatório
combust.,combustível
comdor.,comendador
comend.,comendador
comerc.,comercial
comerc.,comércio
c.q.d.,como queria demonstrar
comp.,companhia (militarmente)
comp.,comparativo
comp.,composto
comp.e,compadre
comp.t,"composuit, compôs"
compar.,comparado
compar.,comparativamente
compar.,comparativo
compl.,complemento
compr.,comprimento
compt.,computadores eletrônicos
comte,comandante
comte.,comandante
comunic.,comunicação
Côn.,cônego
côn.,cônego
con.,"contra, contra, em oposição"
Côn.º,Cônego
conc.,concani
conc.,conceito
conc.,concelho(s) (divisão administrativa)
concess.,concessiva
concret.,concretismo
cond.,condado
cond.,condicional
cond.,condutor
conf.,conferência
Confed.,confederação
confed.,confederação
confeit.,confeitaria
confl.,confluência
confls.,confluências
cong.,conguês
conhec.,conhecimento(s)
conj. adit.,conjunção aditiva
conj. adv.,conjunção adversativa
conj. advers.,conjunção adversativa
conj. alt.,conjunção alternativa
conj. cau.,conjunção causal
conj. caus.,conjunção causal
conj.,causal conjunção causal
conj. comp.,conjunção comparativa
conj. compar.,conjunção comparativa
conj. conc.,conjunção concessiva
conj. conces.,conjunção concessiva
conj. concl.,conjunção conclusiva
conj. cond.,conjunção condicional
conj. condic.,conjunção condicional
conj. conf.,conjunção conformativa
conj.,"conjuga, conjugue"
conj.,conjugação
conj.,conjunção
conj.,conjuntivo
conj. cons.,conjunção consecutiva
conj. consec.,conjunção consecutiva
conj. coord.,conjunção coordenativa
conj. expl.,conjunção explicativa
conj. fin.,conjunção final
conj. final,conjunção final
conj. int.,conjunção integrante
conj. integr.,conjunção integrante
conj. prop.,conjunção proporcional
conj. sub.,conjunção subordinativa
conj. subord.,conjunção subordinativa
conj. temp.,conjunção temporal
conjug.,conjugação
conq.,conquiliologia
conquil.,conquiliologia
conquiliol.,conquiliologia
cons.,conselheiro
cons.,consoante
cons.º,Conselheiro
consel.,conselheiro
conselh.,conselheiro
conseq.,consequente
constel.,constelação
const.,constitucionalista
Const.,constituição
const.,constituição
const.,construção
const.,nav.  —  construção naval
const.,rur.  —  construção rural
constr.,nav.  —  construção naval
constrt.,construtora
cont.,contabilidade
cont.,contemporâneo
cont.,"contra, contra, em oposição"
Cr.,contador
Cra.,contadora
Crª.,contadora
Cont.dor,contador
Cont.or,contador
contab.,contabilidade
contemp.,contemporâneo
contr.,"contra, em oposição"
contr.,contração
contr.,contrário
contr.,contrata
coord.,coordenativa
cop.,copiado
cop.,copulativo
copul.,copulativo
copulat.,copulativo
coq.,"coque ou coquatur, coze, coza-se"
cor.,coreano
cor.,coroa(s) (moeda)
cor.,corografia
Cor.,corolário
cor.,corredor
cor.,correios
coreog.,"coreografia, coregrafia"
coreogr.,coreografia
corog.,corografia
corogr.,corografia
corr.,correção
corr.,correios
corr.,corrução
corr.,corrupção
corr.,corruptela
corr.,corrutela
correi.,correição
corresp.,correspondência
corrup.,corrupção
corrup.,corruptela
corrupt.,corruptela
corrut.,corrutela
cos.,co-seno
cosec.,co-secante
cosm.,cosmetologia
cosm.,cosmografia
cosm.,cosmologia
cosmog.,cosmogonia
cosmog.,cosmografia
cosmogr.,cosmografia
cosmol.,cosmologia
cost.,costura
costa-ric.,costa-ricense
costa-riq.,costa-riquenho
cot.,co-tangente
côv.,côvado
cp.,"compare, coteje, confronte"
c.q.d.,como queríamos demonstrar
Cr,cromo
Cr$,cruzeiro
cr.,croata
cr.a,criada
cr.º,Criado
créd.,crédito
cresc.,"crescendo, crescendo, em crescendo"
cresc.te,crescente
crim.,criminologia
criminol.,criminologia
cript.,criptônimo
criptog.,criptografia
crist.,cristalografia
crist.,cristandade
crist.,cristianismo
cristal.,cristalografia
cristalogr.,cristalografia
cristand.,cristandade
cristian.,cristianismo
crôn.,crônica
cron.,cronologia
cron.,cronológico
cron.,cronônimo
cron.f.,cronônimo feminino
cron.f.pl.,cronônimo feminino plural
cron.m.,cronônimo masculino
cron.m.pl.,cronônimo masculino plural
cronol.,cronologia
cronom.,cronometria
cronôn. fem.,cronônimo feminino
cronôn. masc.,cronônimo masculino
crust.,crustáceo(s)
cruz.,cruzamento
Cs,césio
ctv.,centavo(s)
Cu,"cuprum, cobre"
cu.ft.,"cubic foot (feet), pé cúbico(s)"
cu.in.,"cubic inch(es), polegada(s) cúbica(s)"
cu.yd.,"cubic yard(s), jarda(s) cúbica(s)"
cul.,culinária
culin.,culinária
cult.,cultismo
cult.,cultura
cump.to,cumprimento
curt.,curtume(s)
cut.,cutelaria
cutel.,cutelaria
cv.,centavo
cvs.,centavos
Cx.,caixa
cx.,caixa
cyat.,"cyathus, copo de vidro"
D.er,designer
d,"denarius, denário"
D,dever (comercialmente)
d,dia(s)
d,dina(s)
d,dinheiro
d,dioptria
D,dólar(es)
D.C.,Diretor de Colégio
D.,declinação
d.,"denarius, denário"
D.,densidade
d.,depois de
D.er,designer
D.,deve (comercialmente)
D.,dever (comercialmente)
D.,digno
d.,dinheiro(s) (moeda)
d.,diplomata
D.,direita (marcação teatral)
D.,distrito
d.,dom
D.,dom
D.,dona
d.,dona
D.ª,dona
D.A.,direita alta (marcação teatral)
D.B.,direita baixa (marcação teatral)
D.C.,"da capo, do início, repita-se a partir do início"
d.C.,depois de Cristo
D.C.,depois de Cristo
d.C.C.,duração da contração catódica
d.-cm,dina por centímetro
d.e,deve
D.G.,"Dei gratia, pela graça de Deus"
D.G.,Deus guarde
D.M.A.,"""Doctor in Musical Arts"" (lit. Doutor em Artes Musicais – título acadêmico, em instituições de ensino de língua inglesa, geralmente relativo a um Doutorado em performance, composição ou regência, diferenciando–se de Ph.D. que geralmente refere–se a um Doutorado em musicologia)"
DNA.,"Desoxirribo Nucleic Acid,ácido desoxirribonucléico"
D.P.,diferença de potencial
D.r,doutor
D.r M.,"doutor de medicina, doutor em medicina"
D.ra,doutora
D.V.,"Deo uolente, querendo Deus, se Deus quiser"
d/,dia(s) (comercialmente)
d/cm²,dina por centímetro quadrado
